Plant name,Moisture level,Plant height,Light conditions,Soil type,Care advice
Broad Leaf Stonecrop,Dry,Max 1.5m,Full sun,Sandy,Broad leaf stonecrops are drought-tolerant plants but benefit from occasional watering during prolonged dry spells to maintain healthy growth.
Broad-leaved cattail,Moist,Max 3m,Full sun,Sandy,Broad-leaved cattails are aquatic plants that thrive in wet soil or shallow water. Ensure the soil or growing medium remains consistently moist or submerged.
Bunchberry,Moist,Max 1.5m,Partial sun,Sandy,"Bunchberries prefer consistently moist soil and should be watered regularly to maintain moisture levels, especially during dry spells or periods of drought."
Bur Oak,Moist,Any,Full sun,Sandy,"Bur oaks prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid waterlogged conditions."
Bush Honeysuckle,Dry,Max 1.5m,Full sun,Sandy,"Bush honeysuckles prefer moderately moist soil and should be watered regularly, especially during dry spells or periods of drought."
Butterfly Milkweed,Dry,Max 1.5m,Full sun,Sandy,"Butterfly milkweeds prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid overwatering."
Butternut,Dry,Any,Full sun,Sandy,"Butternuts prefer consistently moist soil and should be watered regularly, especially during dry spells or periods of drought."
Buttonbush,Moist,Max 2m,Full sun,Sandy,"Buttonbushes thrive in moist to wet soil conditions and should be watered regularly to maintain moisture levels, especially during hot and dry periods."
Canada Anemone,Moist,Max 1.5m,Full sun,Sandy,"Canada anemones prefer consistently moist soil and should be watered regularly to maintain moisture levels, especially during dry spells or periods of drought."
Canada Bloodroot,Normal,Max 1.5m,Partial sun,Loamy,"Canada bloodroots prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid overwatering to prevent rot."
Canada Goldenrod,Dry,Max 2m,Full sun,Sandy,"Canada goldenrods thrive in moist to slightly dry soil conditions and should be watered regularly, especially during prolonged dry spells or periods of drought."
Canada Honewort,Normal,Max 1.5m,Partial sun,Loamy,"Canada honeworts prefer consistently moist soil and should be watered regularly to maintain moisture levels, especially during hot and dry periods."
Canada Mayflower,Dry,Max 1.5m,Partial sun,Sandy,"Canada mayflowers prefer moist soil and should be watered regularly, especially during dry spells or periods of drought. Provide supplemental watering as needed."
Canada plum,Normal,Any,Full sun,Sandy,"Canada plums prefer moist soil and should be watered regularly, especially during dry spells or periods of drought. Provide consistent moisture for optimal growth."
Canada Rosebay/ Rhodora,Normal,Max 1.5m,Full sun,Loamy,"Canada rosebays, also known as rhodoras, prefer consistently moist soil and should be watered regularly, especially during dry spells or periods of drought."
Canada Wild Rye,Dry,Max 1.5m,Full sun,Sandy,"Canada wild ryes prefer moderately moist soil and should be watered regularly to maintain moisture levels, especially during hot and dry periods."
Canada Yew,Moist,Max 2m,Full sun,Sandy,"Canada yews prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid waterlogged conditions."
Canadian Buffaloberry,Dry,Max 3m,Full sun,Sandy,"Canadian buffaloberries prefer consistently moist soil and should be watered regularly, especially during dry spells or periods of drought."
Canadian Gooseberry,Normal,Max 1.5m,Full sun,Sandy,"Canadian gooseberries prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
Canadian Serviceberry,Dry,Any,Full sun,Sandy,"Canadian serviceberries prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid waterlogged conditions."
Canadian Wild Ginger,Normal,Max 1.5m,Partial sun,Loamy,"Canadian wild gingers prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
Cardinal Flower,Moist,Max 1.5m,Full sun,Sandy,"Cardinal flowers prefer moist to wet soil conditions and should be watered regularly to keep the soil consistently moist, especially during hot and dry periods."
Cascara,Dry,Any,Full sun,Sandy,"Cascara trees prefer consistently moist soil and should be watered regularly, especially during dry spells or periods of drought. Avoid waterlogged conditions."
Chokecherry,Dry,Any,Full sun,Sandy,"Chokecherries prefer moist soil and should be watered regularly, especially during hot and dry periods. Ensure the soil drains well to prevent waterlogging."
Christmas Fern,Dry,Max 1.5m,Partial sun,Sandy,"Christmas ferns prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
Cinnamon Fern,Moist,Max 1.5m,Partial sun,Loamy,"Cinnamon ferns prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
Clustered Wild Rose,Moist,Max 2m,Full sun,Sandy,"Clustered wild roses prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Ensure good drainage to prevent waterlogging."
Common Blackberry,Normal,Max 2m,Full sun,Sandy,"Common blackberries prefer consistently moist soil and should be watered regularly, especially during hot and dry periods. Provide supplemental watering as needed."
Common Blue Violet,Normal,Max 1.5m,Partial sun,Loamy,"Common blue violets prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
Common Evening Primrose,Dry,Max 1.5m,Full sun,Sandy,"Common evening primroses prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid waterlogged conditions."
Common Hackberry,Dry,Any,Full sun,Sandy,"Common hackberries prefer consistently moist soil and should be watered regularly, especially during hot and dry periods. Provide supplemental watering as needed."
Common Hop-tree,Dry,Any,Full sun,Sandy,"Common hop-trees prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid waterlogged conditions."
Common Juniper,Dry,Max 1.5m,Full sun,Sandy,"Common junipers are drought-tolerant once established but benefit from occasional watering, especially during prolonged periods of drought."
Common Milkweed,Dry,Max 1.5m,Full sun,Sandy,"Common milkweeds prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid overwatering to prevent root rot."
Common Polypody,Dry,Max 1.5m,Partial sun,Sandy,"Common polypodies prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
Common Spicebush,Dry,Max 2m,Full sun,Sandy,"Common spicebushes prefer consistently moist soil and should be watered regularly, especially during hot and dry periods. Provide supplemental watering as needed."
Common Water-Plantain,Wet,Max 1.5m,Full sun,Sandy,"Common water-plantains prefer moist to wet soil conditions and should be watered regularly to keep the soil consistently moist, especially during hot and dry periods."
Common Wild Rose,Dry,Max 2m,Full sun,Sandy,"Common wild roses prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Provide supplemental watering as needed."
Common Wood Sedge,Moist,Max 1.5m,Full sun,Sandy,"Common wood sedges prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
Common Woolly Sunflower,Dry,Max 1.5m,Full sun,Sandy,"Common woolly sunflowers prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid waterlogged conditions."
Common Yellow Monkey flower,Moist,Max 1.5m,Full sun,Sandy,"Common yellow monkeyflowers prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
Creeping Juniper,Dry,Max 1.5m,Full sun,Sandy,"Creeping junipers are drought-tolerant once established but benefit from occasional watering, especially during prolonged periods of drought."
Creeping Mahonia,Normal,Max 1.5m,Partial sun,Loamy,"Creeping mahonias prefer consistently moist soil and should be watered regularly, especially during hot and dry periods. Provide supplemental watering as needed."
Cup Plant,Normal,Max 3m,Full sun,Loamy,"Cup plants prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
Cut-Leaved Anemone,Normal,Max 1.5m,Full sun,Sandy,"Cut-leaved anemones prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid waterlogged conditions."
Cylindric Blazing Star,Dry,Max 1.5m,Full sun,Sandy,"Cylindric blazing stars prefer well-draining soil and benefit from regular watering, especially during dry spells or periods of drought. Avoid overwatering to prevent root rot."
Darkthroat Shooting Star,Normal,Max 1.5m,Partial sun,Sandy,"Darkthroat shooting stars prefer consistently moist soil and should be watered regularly to maintain soil moisture levels, especially during hot and dry periods."
